timeElapsed,x,y,z,label
1175,1.25,-8.87,0.51,Standing
1176,0.94,-8.97,0.27,Standing
1177,0.79,-8.52,0.33,Standing
1178,0.76,-8.32,0.64,Standing
1179,0.73,-8.58,0.7,Standing
1180,0.85,-8.94,0.57,Standing
1181,1.24,-9.17,0.5,Standing
1182,1.68,-9.02,0.42,Standing
1183,1.69,-8.64,0.33,Standing
1184,1.35,-8.53,0.27,Standing
1185,1.27,-8.83,0.24,Standing
1186,1.3,-9.02,0.47,Standing
1187,1.18,-8.92,0.62,Standing
1188,1.12,-8.49,0.58,Standing
1189,1.27,-8.36,0.56,Standing
1190,1.47,-8.57,0.65,Standing
1191,1.58,-8.63,0.73,Standing
1192,1.57,-8.53,0.62,Standing
1193,1.36,-8.65,0.32,Standing
1194,1.14,-8.75,0.1,Standing
1195,1.29,-8.75,0,Standing
1196,1.63,-8.67,0.15,Standing
1197,1.99,-8.6,0.43,Standing
1198,2.19,-8.74,0.51,Standing
1199,1.99,-8.96,0.37,Standing
1200,1.48,-9.02,0.12,Standing
1201,1.13,-8.63,0.23,Standing
1202,1.13,-8.4,0.5,Standing
1203,1.19,-8.49,0.67,Standing
1204,1.3,-8.69,0.66,Standing
1205,1.44,-8.76,0.6,Standing
1206,1.54,-8.59,0.56,Standing
1207,1.47,-8.59,0.52,Standing
1208,1.29,-8.74,0.46,Standing
1209,1.26,-8.77,0.26,Standing
1210,1.3,-8.71,0.19,Standing
1211,1.23,-8.63,0.19,Standing
1212,1.21,-8.62,0.23,Standing
1213,1.46,-8.71,0.4,Standing
1214,1.89,-8.81,0.49,Standing
1215,2.07,-8.79,0.48,Standing
1216,1.86,-8.7,0.44,Standing
1217,1.62,-8.71,0.34,Standing
1218,1.44,-8.78,0.2,Standing
1219,1.21,-8.87,0.14,Standing
1220,0.95,-8.85,0.05,Standing
1221,0.94,-8.68,0.02,Standing
1222,1.31,-8.47,0.13,Standing
1223,1.82,-8.42,0.35,Standing
1224,2.1,-8.46,0.42,Standing
1225,2.11,-8.61,0.47,Standing
1226,2.04,-8.64,0.68,Standing
1227,1.96,-8.53,0.77,Standing
1228,1.96,-8.41,0.53,Standing
1229,2.01,-8.41,0.4,Standing
1230,1.99,-8.5,0.36,Standing
1231,1.85,-8.71,0.27,Standing
1232,1.7,-9.06,0.11,Standing
1233,1.66,-9.07,0.18,Standing
1234,1.52,-8.83,0.49,Standing
1235,1.46,-8.67,0.66,Standing
1236,1.65,-8.82,0.89,Standing
1237,1.94,-8.85,1.08,Standing
1238,2.36,-8.76,1.06,Standing
1239,2.36,-8.86,0.89,Standing
1240,1.93,-8.88,0.72,Standing
1241,1.42,-8.8,0.6,Standing
1242,1.12,-8.63,0.59,Standing
1243,1.3,-8.45,0.69,Standing
1244,1.75,-8.57,0.68,Standing
1245,2.15,-8.91,0.7,Standing
1246,2.1,-8.94,0.76,Standing
1247,1.81,-8.63,0.86,Standing
1248,1.53,-8.29,1.05,Standing
1249,1.29,-8.11,0.9,Standing
1250,1.2,-8.28,0.32,Standing
1251,1.29,-8.81,-0.07,Standing
1252,1.33,-9,-0.13,Standing
1253,1.42,-8.77,-0.03,Standing
1254,1.32,-8.67,0.15,Standing
1255,1.07,-8.65,0.19,Standing
1256,0.97,-8.69,0.07,Standing
1257,1,-8.79,-0.15,Standing
1258,1.09,-8.75,-0.31,Standing
1259,1.17,-8.76,-0.35,Standing
1260,1.31,-8.77,-0.27,Standing
1261,1.5,-8.72,-0.02,Standing
1262,1.52,-8.71,-0.01,Standing
1263,1.41,-8.67,0.01,Standing
1264,1.37,-8.65,-0.04,Standing
1265,1.42,-8.68,-0.2,Standing
1266,1.42,-8.74,-0.31,Standing
1267,1.37,-8.82,-0.4,Standing
1268,1.28,-8.85,-0.48,Standing
1269,1.23,-8.84,-0.37,Standing
1270,1.23,-8.78,-0.18,Standing
1271,1.2,-8.7,0,Standing
1272,1.15,-8.66,0.04,Standing
1273,1.14,-8.69,0.01,Standing
1274,1.21,-8.69,-0.04,Standing
1275,1.35,-8.75,-0.12,Standing
1276,1.42,-8.79,-0.1,Standing
1277,1.41,-8.71,-0.06,Standing
1278,1.37,-8.65,-0.04,Standing
1279,1.37,-8.68,0.03,Standing
1280,1.29,-8.75,0.11,Standing
1281,1.16,-8.7,0.05,Standing
1282,1.08,-8.71,-0.01,Standing
1283,1.03,-8.78,-0.05,Standing
1284,1.04,-8.8,0.03,Standing
1285,1.02,-8.8,0.09,Standing
1286,1,-8.76,0.13,Standing
1287,1.03,-8.71,0.16,Standing
1288,1.2,-8.65,0.16,Standing
1289,1.43,-8.69,0.3,Standing
1290,1.48,-8.72,0.32,Standing
1291,1.33,-8.65,0.27,Standing
1292,1.18,-8.69,0.2,Standing
1293,1.15,-8.8,0.17,Standing
1294,1.11,-8.8,0.17,Standing
1295,1,-8.75,0.2,Standing
1296,0.9,-8.73,0.21,Standing
1297,0.84,-8.77,0.2,Standing
1298,0.87,-8.75,0.14,Standing
1299,1,-8.75,0.17,Standing
1300,1.07,-8.79,0.22,Standing
1301,1.09,-8.74,0.28,Standing
1302,1.13,-8.75,0.2,Standing
1303,1.19,-8.75,0.17,Standing
1304,1.29,-8.7,0.19,Standing
1305,1.3,-8.67,0.25,Standing
1306,1.26,-8.7,0.35,Standing
1307,1.23,-8.75,0.31,Standing
1308,1.22,-8.76,0.26,Standing
1309,1.18,-8.7,0.25,Standing
1310,1.11,-8.7,0.24,Standing
1311,1.03,-8.77,0.28,Standing
1312,0.99,-8.75,0.32,Standing
1313,1.03,-8.77,0.28,Standing
1314,1.05,-8.8,0.26,Standing
1315,1.1,-8.71,0.26,Standing
1316,1.18,-8.68,0.33,Standing
1317,1.2,-8.7,0.36,Standing
1318,1.17,-8.73,0.32,Standing
1319,1.16,-8.74,0.27,Standing
1320,1.22,-8.73,0.27,Standing
1321,1.26,-8.78,0.3,Standing
1322,1.19,-8.76,0.35,Standing
1323,1.11,-8.67,0.32,Standing
1324,1.13,-8.69,0.34,Standing
1325,1.18,-8.72,0.36,Standing
1326,1.2,-8.73,0.38,Standing
1327,1.22,-8.74,0.37,Standing
1328,1.23,-8.72,0.41,Standing
1329,1.15,-8.7,0.42,Standing
1330,1.09,-8.73,0.37,Standing
1331,1.11,-8.71,0.33,Standing
1332,1.17,-8.72,0.29,Standing
1333,1.22,-8.78,0.26,Standing
1334,1.29,-8.76,0.35,Standing
1335,1.27,-8.72,0.46,Standing
1336,1.13,-8.69,0.52,Standing
1337,1,-8.7,0.44,Standing
1338,0.97,-8.77,0.4,Standing
1339,1.01,-8.75,0.39,Standing
1340,1.02,-8.69,0.42,Standing
1341,0.97,-8.71,0.45,Standing
1342,0.99,-8.73,0.38,Standing
1343,1.07,-8.75,0.33,Standing
1344,1.12,-8.77,0.39,Standing
1345,1.12,-8.81,0.42,Standing
1346,1.16,-8.72,0.46,Standing
1347,1.18,-8.66,0.51,Standing
1348,1.14,-8.68,0.47,Standing
1349,1.12,-8.72,0.37,Standing
1350,1.18,-8.7,0.34,Standing
1351,1.22,-8.72,0.34,Standing
1352,1.21,-8.73,0.35,Standing
1353,1.15,-8.68,0.42,Standing
1354,1.13,-8.6,0.43,Standing
1355,1.05,-8.64,0.45,Standing
1356,1.04,-8.71,0.44,Standing
1357,1.1,-8.8,0.36,Standing
